FPGA,ASIC,Connector,Crystal,SiPM,Channel
0,1,2,5,0,139
0,1,2,5,1,135
0,1,2,5,2,131
0,1,2,5,3,127
0,1,2,5,4,141
0,1,2,5,5,137
0,1,2,5,6,133
0,1,2,5,7,129
0,1,2,5,8,142
0,1,2,5,9,138
0,1,2,5,10,132
0,1,2,5,11,128
0,1,2,5,12,140
0,1,2,5,13,136
0,1,2,5,14,130
0,1,2,5,15,126
3,1,0,10,0,506
3,1,0,10,1,510
3,1,0,10,2,515
3,1,0,10,3,519
3,1,0,10,4,504
3,1,0,10,5,508
3,1,0,10,6,513
3,1,0,10,7,517
3,1,0,10,8,505
3,1,0,10,9,509
3,1,0,10,10,514
3,1,0,10,11,518
3,1,0,10,12,507
3,1,0,10,13,511
3,1,0,10,14,516
3,1,0,10,15,520
3,1,1,15,0,524
3,1,1,15,1,528
3,1,1,15,2,533
3,1,1,15,3,537
3,1,1,15,4,522
3,1,1,15,5,526
3,1,1,15,6,531
3,1,1,15,7,535
3,1,1,15,8,523
3,1,1,15,9,527
3,1,1,15,10,532
3,1,1,15,11,536
3,1,1,15,12,525
3,1,1,15,13,529
3,1,1,15,14,534
3,1,1,15,15,538
0,0,0,20,0,2
0,0,0,20,1,6
0,0,0,20,2,11
0,0,0,20,3,15
0,0,0,20,4,0
0,0,0,20,5,4
0,0,0,20,6,9
0,0,0,20,7,13
0,0,0,20,8,1
0,0,0,20,9,5
0,0,0,20,10,10
0,0,0,20,11,14
0,0,0,20,12,3
0,0,0,20,13,7
0,0,0,20,14,12
0,0,0,20,15,16
3,0,1,25,0,452
3,0,1,25,1,456
3,0,1,25,2,461
3,0,1,25,3,465
3,0,1,25,4,450
3,0,1,25,5,454
3,0,1,25,6,459
3,0,1,25,7,463
3,0,1,25,8,451
3,0,1,25,9,455
3,0,1,25,10,460
3,0,1,25,11,464
3,0,1,25,12,453
3,0,1,25,13,457
3,0,1,25,14,462
3,0,1,25,15,466
2,1,0,4,0,362
2,1,0,4,1,366
2,1,0,4,2,371
2,1,0,4,3,375
2,1,0,4,4,360
2,1,0,4,5,364
2,1,0,4,6,369
2,1,0,4,7,373
2,1,0,4,8,361
2,1,0,4,9,365
2,1,0,4,10,370
2,1,0,4,11,374
2,1,0,4,12,363
2,1,0,4,13,367
2,1,0,4,14,372
2,1,0,4,15,376
1,1,2,9,0,283
1,1,2,9,1,279
1,1,2,9,2,275
1,1,2,9,3,271
1,1,2,9,4,285
1,1,2,9,5,281
1,1,2,9,6,277
1,1,2,9,7,273
1,1,2,9,8,286
1,1,2,9,9,282
1,1,2,9,10,276
1,1,2,9,11,272
1,1,2,9,12,284
1,1,2,9,13,280
1,1,2,9,14,274
1,1,2,9,15,270
1,1,0,14,0,218
1,1,0,14,1,222
1,1,0,14,2,227
1,1,0,14,3,231
1,1,0,14,4,216
1,1,0,14,5,220
1,1,0,14,6,225
1,1,0,14,7,229
1,1,0,14,8,217
1,1,0,14,9,221
1,1,0,14,10,226
1,1,0,14,11,230
1,1,0,14,12,219
1,1,0,14,13,223
1,1,0,14,14,228
1,1,0,14,15,232
1,1,3,19,0,266
1,1,3,19,1,262
1,1,3,19,2,256
1,1,3,19,3,252
1,1,3,19,4,268
1,1,3,19,5,264
1,1,3,19,6,258
1,1,3,19,7,254
1,1,3,19,8,267
1,1,3,19,9,263
1,1,3,19,10,259
1,1,3,19,11,255
1,1,3,19,12,265
1,1,3,19,13,261
1,1,3,19,14,257
1,1,3,19,15,253
2,1,3,24,0,410
2,1,3,24,1,406
2,1,3,24,2,400
2,1,3,24,3,396
2,1,3,24,4,412
2,1,3,24,5,408
2,1,3,24,6,402
2,1,3,24,7,398
2,1,3,24,8,411
2,1,3,24,9,407
2,1,3,24,10,403
2,1,3,24,11,399
2,1,3,24,12,409
2,1,3,24,13,405
2,1,3,24,14,401
2,1,3,24,15,397
2,1,1,3,0,380
2,1,1,3,1,384
2,1,1,3,2,389
2,1,1,3,3,393
2,1,1,3,4,378
2,1,1,3,5,382
2,1,1,3,6,387
2,1,1,3,7,391
2,1,1,3,8,379
2,1,1,3,9,383
2,1,1,3,10,388
2,1,1,3,11,392
2,1,1,3,12,381
2,1,1,3,13,385
2,1,1,3,14,390
2,1,1,3,15,394
1,0,2,8,0,211
1,0,2,8,1,207
1,0,2,8,2,203
1,0,2,8,3,199
1,0,2,8,4,213
1,0,2,8,5,209
1,0,2,8,6,205
1,0,2,8,7,201
1,0,2,8,8,214
1,0,2,8,9,210
1,0,2,8,10,204
1,0,2,8,11,200
1,0,2,8,12,212
1,0,2,8,13,208
1,0,2,8,14,202
1,0,2,8,15,198
1,0,0,13,0,146
1,0,0,13,1,150
1,0,0,13,2,155
1,0,0,13,3,159
1,0,0,13,4,144
1,0,0,13,5,148
1,0,0,13,6,153
1,0,0,13,7,157
1,0,0,13,8,145
1,0,0,13,9,149
1,0,0,13,10,154
1,0,0,13,11,158
1,0,0,13,12,147
1,0,0,13,13,151
1,0,0,13,14,156
1,0,0,13,15,160
1,0,3,18,0,194
1,0,3,18,1,190
1,0,3,18,2,184
1,0,3,18,3,180
1,0,3,18,4,196
1,0,3,18,5,192
1,0,3,18,6,186
1,0,3,18,7,182
1,0,3,18,8,195
1,0,3,18,9,191
1,0,3,18,10,187
1,0,3,18,11,183
1,0,3,18,12,193
1,0,3,18,13,189
1,0,3,18,14,185
1,0,3,18,15,181
3,0,0,23,0,434
3,0,0,23,1,438
3,0,0,23,2,443
3,0,0,23,3,447
3,0,0,23,4,432
3,0,0,23,5,436
3,0,0,23,6,441
3,0,0,23,7,445
3,0,0,23,8,433
3,0,0,23,9,437
3,0,0,23,10,442
3,0,0,23,11,446
3,0,0,23,12,435
3,0,0,23,13,439
3,0,0,23,14,444
3,0,0,23,15,448
2,1,2,2,0,427
2,1,2,2,1,423
2,1,2,2,2,419
2,1,2,2,3,415
2,1,2,2,4,429
2,1,2,2,5,425
2,1,2,2,6,421
2,1,2,2,7,417
2,1,2,2,8,430
2,1,2,2,9,426
2,1,2,2,10,420
2,1,2,2,11,416
2,1,2,2,12,428
2,1,2,2,13,424
2,1,2,2,14,418
2,1,2,2,15,414
2,0,0,7,0,290
2,0,0,7,1,294
2,0,0,7,2,299
2,0,0,7,3,303
2,0,0,7,4,288
2,0,0,7,5,292
2,0,0,7,6,297
2,0,0,7,7,301
2,0,0,7,8,289
2,0,0,7,9,293
2,0,0,7,10,298
2,0,0,7,11,302
2,0,0,7,12,291
2,0,0,7,13,295
2,0,0,7,14,300
2,0,0,7,15,304
1,1,1,12,0,236
1,1,1,12,1,240
1,1,1,12,2,245
1,1,1,12,3,249
1,1,1,12,4,234
1,1,1,12,5,238
1,1,1,12,6,243
1,1,1,12,7,247
1,1,1,12,8,235
1,1,1,12,9,239
1,1,1,12,10,244
1,1,1,12,11,248
1,1,1,12,12,237
1,1,1,12,13,241
1,1,1,12,14,246
1,1,1,12,15,250
2,0,1,17,0,308
2,0,1,17,1,312
2,0,1,17,2,317
2,0,1,17,3,321
2,0,1,17,4,306
2,0,1,17,5,310
2,0,1,17,6,315
2,0,1,17,7,319
2,0,1,17,8,307
2,0,1,17,9,311
2,0,1,17,10,316
2,0,1,17,11,320
2,0,1,17,12,309
2,0,1,17,13,313
2,0,1,17,14,318
2,0,1,17,15,322
3,0,2,22,0,499
3,0,2,22,1,495
3,0,2,22,2,491
3,0,2,22,3,487
3,0,2,22,4,501
3,0,2,22,5,497
3,0,2,22,6,493
3,0,2,22,7,489
3,0,2,22,8,502
3,0,2,22,9,498
3,0,2,22,10,492
3,0,2,22,11,488
3,0,2,22,12,500
3,0,2,22,13,496
3,0,2,22,14,490
3,0,2,22,15,486
2,0,3,1,0,338
2,0,3,1,1,334
2,0,3,1,2,328
2,0,3,1,3,324
2,0,3,1,4,340
2,0,3,1,5,336
2,0,3,1,6,330
2,0,3,1,7,326
2,0,3,1,8,339
2,0,3,1,9,335
2,0,3,1,10,331
2,0,3,1,11,327
2,0,3,1,12,337
2,0,3,1,13,333
2,0,3,1,14,329
2,0,3,1,15,325
0,1,1,6,0,92
0,1,1,6,1,96
0,1,1,6,2,101
0,1,1,6,3,105
0,1,1,6,4,90
0,1,1,6,5,94
0,1,1,6,6,99
0,1,1,6,7,103
0,1,1,6,8,91
0,1,1,6,9,95
