FPGA,ASIC,Connector,Crystal,SiPM,Channel
0,1,2,4,0,141
0,1,2,4,1,137
0,1,2,4,2,133
0,1,2,4,3,129
3,1,0,9,0,504
3,1,0,9,1,508
3,1,0,9,2,513
3,1,0,9,3,516
3,1,1,14,0,523
3,1,1,14,1,527
3,1,1,14,2,531
3,1,1,14,3,535
0,0,0,19,0,0
0,0,0,19,1,4
0,0,0,19,2,9
0,0,0,19,3,12
3,0,1,24,0,451
3,0,1,24,1,455
3,0,1,24,2,459
3,0,1,24,3,463
2,1,0,3,0,360
2,1,0,3,1,364
2,1,0,3,2,369
2,1,0,3,3,372
1,1,2,8,0,285
1,1,2,8,1,281
1,1,2,8,2,277
1,1,2,8,3,273
1,1,0,13,0,216
1,1,0,13,1,220
1,1,0,13,2,225
1,1,0,13,3,228
1,1,3,18,0,268
1,1,3,18,1,264
1,1,3,18,2,258
1,1,3,18,3,254
2,1,3,23,0,412
2,1,3,23,1,408
2,1,3,23,2,402
2,1,3,23,3,398
2,1,1,2,0,379
2,1,1,2,1,383
2,1,1,2,2,387
2,1,1,2,3,391
1,0,2,7,0,213
1,0,2,7,1,209
1,0,2,7,2,205
1,0,2,7,3,201
1,0,0,12,0,144
1,0,0,12,1,148
1,0,0,12,2,153
1,0,0,12,3,156
1,0,3,17,0,196
1,0,3,17,1,192
1,0,3,17,2,186
1,0,3,17,3,182
3,0,0,22,0,432
3,0,0,22,1,436
3,0,0,22,2,441
3,0,0,22,3,444
2,1,2,1,0,429
2,1,2,1,1,425
2,1,2,1,2,421
2,1,2,1,3,417
2,0,0,6,0,288
2,0,0,6,1,292
2,0,0,6,2,297
2,0,0,6,3,300
1,1,1,11,0,235
1,1,1,11,1,239
1,1,1,11,2,243
1,1,1,11,3,247
2,0,1,16,0,307
2,0,1,16,1,311
2,0,1,16,2,315
2,0,1,16,3,319
3,0,2,21,0,501
3,0,2,21,1,497
3,0,2,21,2,493
3,0,2,21,3,489
2,0,3,0,0,340
2,0,3,0,1,336
2,0,3,0,2,330
2,0,3,0,3,326
0,1,1,5,0,91
0,1,1,5,1,95
0,1,1,5,2,99
0,1,1,5,3,103
0,1,3,10,0,124
0,1,3,10,1,120
0,1,3,10,2,114
0,1,3,10,3,110
1,0,1,15,0,163
1,0,1,15,1,167
1,0,1,15,2,171
1,0,1,15,3,175
2,0,2,20,0,357
2,0,2,20,1,353
2,0,2,20,2,349
2,0,2,20,3,345
